Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Cluster
"-4,267093727","-3,621748911","-0,553340347","1,9402831311","3,7025730319","-0,220174045",2
"-4,255578494","-3,663987487","-0,52236245","1,9566081414","3,7403705241","-0,223162909",2
"-4,101860253","-3,2765296","0,5115109331","0,566140885","2,0369204101","0,4713747692",2
"-3,642804214","-1,768546439","-0,679819345","0,4497979685","1,2732367796","0,0107817251",4
"-3,659525491","-1,777863898","-0,539526833","0,3430572185","1,1569414844","0,0658360165",4
"-3,66664396","-1,739372338","-0,570735647","0,3385562719","1,1140125447","0,0530266193",4
"-3,624829104","-1,760307486","-0,549324649","0,3294447852","1,0966292397","0,0511602818",4
"-3,575131698","-1,766623507","-0,408460204","0,2512422343","1,0610345001","0,1127231598",4
"-3,636720799","-1,865464611","-0,301171711","0,2968338139","1,0938432044","0,0662803968",4
"-3,652263493","-1,871427398","-0,38783482","0,4081033724","1,2215832615","0,0066040944",4
"-3,622577626","-1,776811125","-0,4734512","0,3670752837","1,1058595287","0,0034506457",4
"-3,637367955","-1,877391022","-0,376921726","0,4124701095","1,2128670818","-0,004943403",4
"-3,597688519","-1,786649856","-0,463670546","0,369418064","1,1028628657","-0,002533703",4
"-3,582989189","-1,791978316","-0,460387243","0,3720496713","1,103361596","-0,00609041",4
"-3,622802579","-1,90801398","-0,322442007","0,4267532787","1,246255395","-0,011433694",4
"-3,5801577","-1,788192093","-0,461838646","0,3735493943","1,1107422398","-0,004078107",4
"-3,543057755","-1,751803442","-0,532775256","0,3103239963","1,0456757441","0,0407884504",4
"-3,524063417","-1,702286228","-0,680766816","0,3862017117","1,1015930229","-0,008164185",4
"-3,489466156","-1,696559476","-0,592205503","0,2956296232","0,9924207183","0,0356877244",4
"-3,411318958","-1,585289134","-0,704414946","0,2290675836","0,8369207612","0,045238497",4
"-3,350276636","-1,467681486","-0,82300728","0,1716100201","0,6901277808","0,0488606771",4
"-3,382805481","-1,542351024","-0,837247416","-0,184914894","0,6873035442","0,4513814146",4
"-3,338645571","-1,528117486","-0,863403936","0,0498804486","0,739251552","0,2100735035",4
"-3,317808921","-1,483978439","-0,72244339","0,0226153275","0,5583868915","0,143706984",4
"-3,323229122","-1,47542938","-0,709593898","0,0255729386","0,553803698","0,1357561593",4
"-3,269651188","-1,486334463","-0,678421433","0,0414013389","0,5437718977","0,1079691035",4
"-3,237186111","-1,465978892","-0,919049263","0,2281553593","0,7237497747","-0,002380083",4
"-3,217807059","-1,429344264","-0,792147484","0,1744289612","0,5654541068","-0,026265866",4
"-3,223596137","-1,360705321","-0,951466189","0,2864374163","0,6368773841","-0,107214356",4
"-3,272593104","-1,502647016","-0,821657055","0,3315118929","0,7538795385","-0,111607307",4
"-3,190178463","-1,552080421","-1,512109422","1,0149158912","1,4881574117","-0,490805466",4
"-3,096506579","-1,592711106","-1,356280338","0,85097333","1,4418595262","-0,339379255",4
"-3,241317828","-1,774172566","-1,324992894","1,0502221654","1,6811197783","-0,456362017",4
"-3,09371397","-1,692252001","-1,267584618","0,8909816955","1,4367277677","-0,399584119",4
"-3,112545014","-1,787870919","-1,160820482","0,9368528629","1,533897713","-0,414650863",4
"-3,10395309","-1,786549636","-1,147986114","0,935711952","1,5282147313","-0,418047042",4
"-3,145122342","-1,725572755","-1,188018018","0,9258502347","1,4996347311","-0,415908395",4
"-3,097618388","-1,64373782","-1,283130073","0,8852987669","1,3912406681","-0,41485249",4
"-3,087420074","-1,611133521","-1,312350068","0,8715843917","1,3558738272","-0,414234602",4
"-3,073457323","-1,629654943","-1,308756559","0,8761282611","1,3444781823","-0,425583576",4
"-3,127325716","-1,643161175","-1,285010232","0,889587675","1,3809115799","-0,424731203",4
"-3,102691914","-1,652759919","-1,266548611","0,8771665247","1,3625572001","-0,422057757",4
"-3,116546513","-1,63676295","-0,663465631","0,3558567136","0,7972109791","-0,143832468",4
"-2,997799592","-1,699673334","-0,473020029","0,2925078686","0,8029806327","-0,084622634",4
"-3,082526129","-1,616856296","-0,539395987","0,2358423817","0,656867592","-0,084365332",4
"-3,437202832","-0,660705168","-1,739741665","-0,232325822","-0,722757653","-0,110396429",5
"-3,373637649","-0,727613345","-1,638338552","-0,207693716","-0,616565574","-0,095766787",5
"-3,726714405","-0,552302651","-1,793757987","-0,345816776","-0,705868907","0,0558770733",5
"-3,629316705","-0,568108495","-1,859197624","-0,234205654","-0,509224728","0,0283010143",5
"-3,632881373","-0,634254914","-1,792739385","-0,205387641","-0,434143408","0,0259567958",5
"-3,732847847","-0,635910873","-1,818070215","0,6746072415","-0,90098562","0,9443641526",5
"-3,73359325","-0,711266501","-1,827940679","-0,304294374","-0,399965752","0,1549771097",5
