r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,251464,69424,17212,439716,0,0,0,0,6177,566,2,81,17,0,0
5,0,251464,69424,17212,439716,4,0,4,0,6450,616,3,79,17,0,0
1,0,251464,69424,17220,439712,0,0,0,16,6385,652,0,83,17,0,0
1,0,251464,69424,17220,439720,0,0,0,0,6073,683,1,85,14,0,0
0,0,251464,69424,17220,439720,0,0,0,0,5533,630,0,87,13,0,0
1,0,251464,69424,17220,439720,0,0,0,0,5435,676,3,84,13,0,0
5,0,251464,69424,17220,439720,0,0,0,0,5354,604,3,84,14,0,0
2,0,251464,69424,17220,439720,0,0,0,0,5381,651,3,84,13,0,0
5,0,251464,69424,17228,439724,0,0,0,16,5954,607,0,85,15,0,0
1,0,251464,68976,17228,439724,0,0,0,0,6173,600,3,79,18,0,0
2,0,251464,68976,17228,439724,0,0,0,0,6891,593,0,83,17,0,0
2,0,251464,68976,17228,439724,0,0,0,0,6458,595,3,77,19,0,0
1,0,251464,68976,17228,439724,0,0,0,0,6237,610,1,79,20,0,0
0,0,251464,68976,17236,439724,0,0,0,44,6881,556,2,78,21,0,0
1,0,251464,66964,17236,441312,0,0,1576,0,2840,691,2,42,50,6,0
0,0,251464,66964,17236,441320,0,0,0,0,2430,582,2,42,56,0,0
0,0,251464,66964,17236,441324,0,0,0,0,1136,424,1,25,74,0,0
1,0,251464,66964,17236,441324,0,0,0,0,2577,584,5,44,51,0,0
2,0,251464,66964,17244,441328,0,0,0,52,2127,570,2,44,52,1,0
0,0,251464,66964,17244,441332,0,0,0,0,2061,546,2,43,55,0,0
0,0,251464,66964,17244,441336,0,0,0,0,1592,418,2,22,76,0,0
3,0,251464,66964,17244,441336,0,0,0,0,2436,613,2,58,39,0,0
2,0,251464,66964,17244,441340,0,0,0,0,1906,514,3,33,63,0,0
0,0,251464,66964,17252,441344,0,0,0,36,2966,605,5,51,15,29,0
0,0,251464,66964,17252,441348,0,0,0,0,1489,446,3,28,69,0,0
0,3,250184,66964,17252,441384,4,0,75,0,2430,659,4,41,49,6,0
1,0,250184,66964,17252,441628,0,0,240,0,2238,569,3,50,9,37,0
1,0,250184,66964,17252,441628,0,0,0,0,2096,504,3,39,58,0,0
0,1,250184,66964,17260,441632,0,0,0,36,2388,552,2,45,15,37,0
0,0,250184,66964,17260,441636,0,0,0,0,2700,578,3,41,4,52,0
2,0,250184,66964,17260,441640,0,0,0,0,2585,586,2,58,40,0,0
2,0,250184,66964,17260,441640,0,0,0,0,1489,449,2,29,68,0,0
2,0,250184,66964,17260,441644,0,0,0,0,1991,508,2,40,57,0,0
1,0,250184,66964,17268,441648,0,0,0,16,2256,522,2,23,71,3,0
1,0,250184,66964,17268,441652,0,0,0,0,2153,481,1,32,67,0,0
2,0,250184,66964,17268,441652,0,0,0,0,2309,529,3,36,61,0,0
1,0,250184,66964,17268,441656,0,0,0,0,2601,561,7,44,49,0,0
0,0,250184,66964,17268,441660,0,0,0,0,1705,535,2,41,57,0,0
0,0,250184,66964,17276,441664,0,0,0,16,2073,547,2,38,44,16,0
3,0,250184,66964,17276,441664,0,0,0,0,1627,487,5,37,58,0,0
3,0,250184,66964,17276,441668,0,0,0,0,2012,489,2,36,62,0,0
0,0,250184,66964,17292,441656,0,0,0,220,1946,575,2,44,51,3,0
2,0,250184,66964,17292,441676,0,0,0,0,2165,523,1,43,56,0,0
1,0,250184,66964,17292,441676,0,0,0,0,2039,486,2,31,66,0,0
3,0,250184,66964,17292,441680,0,0,0,0,1991,469,1,36,63,0,0
0,0,250184,66964,17292,441684,0,0,0,0,2150,543,3,44,53,0,0
0,0,250184,66964,17300,441688,0,0,0,16,1640,460,1,30,68,1,0
2,0,250184,66964,17300,441688,0,0,0,0,2164,511,2,38,60,0,0
1,0,250184,66964,17300,441692,0,0,0,0,2311,507,2,38,59,0,0
1,0,250184,66964,17300,441696,0,0,0,136,2595,553,3,49,48,1,0
0,0,250184,66964,17300,441700,0,0,0,0,3148,551,3,44,52,0,0
2,1,250184,66964,17308,441692,0,0,0,28,1988,515,2,38,58,2,0
1,0,250184,66964,17308,441704,0,0,0,0,1328,440,3,26,68,2,0
3,0,250184,66964,17308,441708,0,0,0,0,2669,568,2,48,49,0,0
1,0,250184,66964,17308,441712,0,0,0,4,1212,434,2,22,76,0,0
0,0,250184,66964,17308,441712,0,0,0,0,2443,564,7,47,46,0,0
1,1,250184,66964,17316,441708,0,0,0,16,1958,490,2,37,61,0,0
2,0,250184,66964,17316,441720,0,0,0,0,2542,677,5,57,37,1,0
2,0,250184,66964,17316,441724,0,0,0,0,2322,523,3,43,53,0,0
1,0,250184,66964,17316,441728,0,0,0,4,2028,521,1,45,53,0,0
0,0,250184,66964,17316,441728,0,0,0,0,2156,529,2,51,46,0,0
0,1,250184,66964,17324,441732,4,0,4,16,2236,524,2,35,60,4,0
0,0,250184,66964,17324,441736,0,0,0,0,1473,471,3,28,67,1,0
0,0,250184,66964,17324,441740,0,0,0,0,1493,449,2,27,71,0,0
2,0,250184,66964,17324,441740,0,0,0,52,2065,500,1,36,63,0,0
3,0,250184,66964,17324,441744,0,0,0,0,2006,532,4,44,51,0,0
3,0,250184,66964,17324,441752,0,0,0,0,1961,497,1,40,58,0,0
2,0,250184,66964,17332,441756,0,0,0,28,2298,562,7,45,48,0,0
0,0,250184,66964,17332,442060,52,0,352,0,2074,520,2,38,50,9,0
0,0,250184,66964,17332,442060,0,0,0,0,1710,471,3,31,65,0,0
3,0,250184,66964,17332,442064,0,0,0,0,1989,500,2,34,64,0,0
1,1,250184,66964,17340,442060,0,0,0,16,2672,547,4,52,45,0,0
2,0,250184,66964,17340,442072,0,0,0,0,2476,543,1,52,47,0,0
0,0,250184,66964,17348,442064,0,0,0,48,2649,726,3,53,44,0,0
