r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
4,0,252864,73972,7892,415724,0,0,0,0,8049,728,3,83,14,0,0
3,0,252864,73972,7892,415724,0,0,0,0,6878,682,3,84,13,0,0
10,0,252864,73972,7892,415728,0,0,0,0,6917,741,4,86,10,0,0
0,0,252864,73972,7900,415732,0,0,0,16,7304,742,3,87,10,0,0
1,0,252864,73972,7900,415736,0,0,0,0,7777,694,1,82,16,0,0
1,0,252864,73972,7900,415740,0,0,0,0,8039,771,3,85,13,0,0
1,0,252864,73720,7900,416380,0,0,640,0,7292,711,1,75,18,6,0
0,0,252864,73396,7900,436124,0,0,20128,0,4575,962,3,88,1,8,0
11,0,252864,64404,7900,447388,0,0,11872,16,7394,1036,1,93,5,1,0
8,1,255688,61964,7884,443376,60,2728,6568,2824,7139,1074,4,95,0,1,0
4,0,259544,71960,7856,434656,0,3952,7308,3952,6763,904,0,99,1,0,0
4,0,259544,67172,7856,439452,0,0,4924,0,6878,865,1,90,9,0,0
4,0,259800,70092,7856,446232,0,72,7596,72,7533,940,3,89,7,1,0
14,0,261344,72088,7848,440992,0,1660,4184,1688,6088,948,2,94,3,0,0
5,1,262888,72708,7832,437352,0,1600,3688,1624,5740,747,1,87,12,0,0
3,0,262888,72456,7844,437624,0,0,268,48,5858,828,3,86,10,1,0
1,0,262888,71560,7844,437628,0,0,0,0,7278,793,3,85,13,0,0
4,0,262888,71560,7844,437632,0,0,0,0,7350,766,3,86,12,0,0
5,0,262888,71560,7844,437632,0,0,0,0,7390,774,7,79,14,0,0
2,0,262888,71088,7844,437632,0,0,0,0,6817,727,1,84,15,0,0
9,2,262888,68568,7872,439776,24,0,2160,156,6585,1120,9,85,2,3,0
2,2,264680,69656,7868,435344,4,1696,3916,1696,6371,1116,4,96,0,0,0
4,0,267000,82292,7848,419716,0,2420,1384,2420,6143,997,6,94,0,0,0
1,0,267512,75480,7848,419668,0,328,12,328,6308,627,1,81,17,0,0
2,0,267512,75480,7848,419704,0,0,40,724,5560,620,3,80,17,0,0
1,0,267512,75480,7848,419708,0,0,0,0,6372,527,2,77,22,0,0
2,0,267512,78684,7856,419544,0,0,0,60,5835,601,3,86,11,0,0
1,0,267512,75300,7856,419544,0,0,0,0,5965,523,2,77,22,0,0
2,0,267512,72024,7904,422736,12,0,2241,0,4785,1055,3,89,7,1,0
2,0,267512,71772,7904,422868,8,0,160,0,5580,620,3,81,14,1,0
1,0,267512,71772,7904,422868,0,0,0,0,6315,599,0,80,20,0,0
0,0,267512,71772,7912,422868,0,0,0,28,6238,568,2,74,25,0,0
1,0,267512,71772,7912,422868,0,0,0,0,6212,555,2,73,25,0,0
2,0,267512,71520,7912,422976,0,0,124,0,5843,701,5,78,17,0,0
1,0,267512,71520,7912,422976,0,0,0,0,6245,585,3,75,22,0,0
5,1,267512,71520,7920,422968,0,0,0,28,6340,625,0,81,19,0,0
1,0,267512,71520,7920,422980,0,0,0,0,7050,652,4,81,15,0,0
1,0,267512,71520,7920,422980,0,0,0,0,6299,718,16,77,7,0,0
1,0,267512,71520,7920,422980,0,0,0,0,6433,640,0,83,17,0,0
1,0,267512,71520,7920,422984,0,0,0,0,7300,744,3,84,14,0,0
2,0,267512,71520,7920,422984,0,0,0,0,6510,630,3,79,18,0,0
1,0,267512,71520,7928,422984,0,0,0,16,6195,654,4,81,14,0,0
3,0,267512,71520,8032,423132,72,0,276,236,6339,706,0,79,16,4,0
1,0,267512,71520,8032,423132,0,0,0,0,6846,643,3,80,17,0,0
2,0,267512,71520,8032,423132,0,0,0,0,7118,666,1,84,15,0,0
1,0,267512,71296,8032,423132,0,0,0,0,6210,552,2,78,20,0,0
1,0,267512,71296,8032,423136,0,0,0,0,6060,549,2,74,25,0,0
4,0,267512,71296,8040,423136,0,0,0,52,6478,602,0,81,18,1,0
1,0,267512,70176,8040,423136,0,0,0,0,6627,566,3,74,23,0,0
1,0,267512,70176,8040,423136,0,0,0,0,6523,566,2,80,19,0,0
2,0,267512,70176,8040,423140,0,0,0,0,6111,563,0,79,21,0,0
1,0,267512,70176,8040,423140,0,0,0,0,6013,700,11,80,10,0,0
4,0,267512,70176,8048,423140,0,0,0,16,6510,671,2,82,17,0,0
1,0,267512,68608,8048,423140,0,0,0,0,6646,545,2,77,21,0,0
2,0,267512,68608,8048,423144,0,0,0,0,6959,605,3,79,18,0,0
1,0,267512,68608,8048,423144,0,0,0,40,6282,544,2,77,22,0,0
3,0,267512,68608,8048,423144,0,0,0,0,6494,650,1,81,17,0,0
2,0,267512,68608,8056,423144,0,0,0,28,6219,548,3,75,20,2,0
5,0,267512,68608,8056,423144,0,0,0,0,6368,574,0,79,21,0,0
1,0,267512,68608,8056,423148,0,0,0,0,6289,551,3,74,23,0,0
1,0,267512,68608,8056,423148,0,0,0,264,5944,548,0,82,18,0,0
2,0,267512,68608,8056,423148,0,0,0,0,6405,514,2,74,24,0,0
1,1,267512,68608,8064,423148,0,0,0,24,6013,501,3,71,26,0,0
2,0,267512,68608,8064,423152,0,0,0,0,6341,1338,6,82,13,0,0
1,0,267512,68608,8064,423152,0,0,0,0,6401,664,1,81,17,0,0
2,0,267512,68608,8064,423152,0,0,0,0,6124,561,2,82,17,0,0
1,0,267512,68608,8064,423152,0,0,0,0,5947,607,1,81,18,0,0
0,0,267512,68608,8064,423152,0,0,0,0,6489,594,0,81,19,0,0
2,0,267512,68608,8072,423156,0,0,0,16,7679,645,1,79,20,0,0
0,1,267512,68356,8072,424284,0,0,1140,0,5262,551,4,44,35,17,0
0,0,267512,68104,8072,424364,0,0,64,0,610,493,2,11,87,0,0
1,0,267512,68104,8072,424372,0,0,0,0,400,331,1,5,94,0,0
1,0,267512,68104,8072,424376,0,0,0,0,581,417,1,10,89,0,0
1,0,267512,68104,8080,424376,0,0,0,16,718,405,1,10,87,2,0
0,0,267512,68104,8080,424380,0,0,0,0,697,380,1,12,87,0,0
2,0,267512,68104,8080,424384,0,0,0,0,502,346,0,8,92,0,0
0,0,267512,68104,8080,424388,0,0,0,0,662,407,1,15,84,0,0
0,0,267512,68104,8080,424392,0,0,0,0,558,372,0,10,90,0,0
