r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
2,0,249008,70408,9928,436320,0,0,0,36,5349,615,1,57,41,0,"0,1612701438","-0,779577114","0,3967176566","-0,363594491","-1,222111727","-0,854190401","0,494784484","0,1237948329"
1,0,249008,70408,9928,436324,0,0,0,0,4533,634,1,58,40,0,"-0,017271759","-0,865495308","0,4483553253","-0,426981559","-1,124244265","-0,820086948","0,5004401069","0,3845212894"
2,0,249008,70408,9928,436328,0,0,0,0,5118,592,4,59,38,0,"0,3233551956","-0,83171006","0,4409945015","-0,636569968","-1,094721549","0,2294820916","0,899682571","0,1015343272"
2,0,249008,70408,9936,436332,0,0,0,20,6758,743,4,79,18,0,"1,4942432903","-0,969758043","0,0575394579","-0,430599444","-0,736101494","0,2191192461","0,816171927","0,1976737392"
1,0,249008,70408,9936,436336,0,0,0,0,7049,751,5,72,23,0,"1,3166076507","-1,095689052","0,1395906871","-0,648644725","-0,603198984","0,5888363425","0,9265163242","0,467531985"
0,0,249008,70408,9936,436336,0,0,0,4,7586,754,1,80,19,0,"1,19966276","-1,205028165","-0,059954799","-0,24212784","-0,564038173","-0,899192436","0,277174472","0,8405043562"
1,0,249008,70408,9936,436340,0,0,0,0,6368,700,2,70,27,0,"0,82400264","-1,02227253","0,168951068","-0,373647963","-0,828739739","-0,500412845","0,5306677617","0,4714783614"
1,0,249008,70408,9936,436344,0,0,0,0,4092,616,2,52,46,0,"-0,231544462","-0,831883218","0,5835818773","-0,602620568","-1,172854694","-0,443994516","0,676619153","0,3427235563"
1,0,249008,70408,9944,436348,0,0,0,16,7660,814,3,80,18,0,"1,6182405687","-1,122743091","-0,031740276","-0,374810887","-0,565885949","-0,137620367","0,6267813297","0,5158356038"
3,0,249008,70408,9944,436348,0,0,0,0,5619,661,2,59,39,0,"0,5400932812","-0,759486183","0,3708915498","-0,325244719","-1,26137111","-0,455894814","0,6864762048","-0,184094158"
3,0,249008,70408,9944,436352,0,0,0,0,2653,468,4,33,62,0,"-0,915902032","-0,521312367","0,9611170736","-0,847166476","-1,662771566","0,2960056572","1,1060654943","-0,345461965"
1,0,249008,70408,9944,436356,0,0,0,36,6628,797,3,73,23,0,"1,2645608512","-1,021216411","0,128546555","-0,476190304","-0,684013066","-0,109165084","0,694116682","0,4646152609"
1,0,249008,68168,9944,436356,0,0,0,0,4874,643,2,61,36,0,"0,312918923","-1,027245966","0,4631365617","-0,540804464","-1,067697228","-0,541728111","0,5770817017","0,4946285089"
