r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
4,0,250432,81940,16984,427216,0,0,0,0,6873,814,4,89,8,0,"1,5381169002","-1,723422508","1,6124136467","0,677924222","0,8130158518","2,8459140486","-0,008607433","-0,912754004"
1,0,250432,77436,16992,427208,0,0,0,16,6776,716,1,84,14,0,"0,6250795434","-1,571475613","1,4754199274","0,2538323951","-0,610183374","2,0368568429","0,2779622547","-0,854090493"
1,0,250432,77436,16992,427220,0,0,0,0,7290,819,3,86,11,0,"1,1233592923","-1,651335911","1,2913227684","0,302229607","-0,276759525","2,1275358452","0,16137567","-0,702798571"
1,0,250432,77436,16992,427220,0,0,0,0,7432,818,5,83,13,0,"1,1841431165","-1,572889386","1,0950964413","0,235912685","0,1578614094","2,2505345983","0,0209906423","-0,579909697"
0,0,250432,77436,16992,427224,0,0,0,0,7591,917,4,84,12,0,"1,2680233174","-1,599964618","1,258355474","0,2650150898","-0,313984616","2,1379112631","0,1220235261","-0,620829661"
1,0,250432,77436,16992,427228,0,0,0,0,8042,764,3,89,9,0,"1,2302121766","-1,812577021","1,3464784415","0,3070985687","-0,319819204","2,1039314251","0,2246964092","-0,67589009"
3,0,250432,74524,16992,427228,0,0,0,0,7825,778,4,86,11,0,"1,4377225246","-1,561632502","0,8092684581","0,0519496321","0,1773326342","1,9195489712","0,0555960428","-0,527850712"
1,0,250432,71612,17000,427228,0,0,0,16,7351,720,1,86,13,0,"0,8060888048","-1,46054246","0,8550364919","-0,20590858","-0,988204971","1,3246706662","0,3194419372","-0,546625681"
1,0,250432,71612,17000,427232,0,0,0,0,7120,707,0,84,16,0,"0,5732498491","-1,510327603","0,8227711585","-0,112854781","-1,142860105","1,2842874008","0,3378559817","-0,645531535"
2,0,250432,71612,17000,427232,0,0,0,144,7524,718,3,83,14,0,"1,1068567928","-0,678332323","1,2625859557","-0,911893203","-0,410869018","1,471653186","0,2896182116","-0,379336024"
1,0,250432,71612,17000,427236,0,0,0,0,6950,748,1,83,16,0,"0,6730618893","-1,432935389","0,7280734033","-0,136694981","-0,937450483","1,3448585981","0,2558630018","-0,581799153"
1,0,250432,71612,17000,427236,0,0,0,0,7474,717,1,86,12,0,"0,8261826139","-1,56808109","0,7858894168","-0,120613444","-0,99040088","1,3244182837","0,3095945793","-0,547357889"
3,0,250432,71612,17008,427240,12,0,12,16,7170,818,1,88,9,3,"1,3479442831","-1,077998548","0,7761701135","0,0609034811","-0,825757933","1,6399130983","0,1525944564","-0,343783768"
6,0,250432,71612,17008,427240,0,0,0,0,7013,703,3,83,14,0,"1,3112591465","-1,317350414","0,3679758892","-0,135742254","0,54399822","1,6799951509","-0,038727478","-0,549268021"
12,0,250432,71612,17008,427240,0,0,0,56,7128,974,20,79,1,0,"3,8544146461","-0,367723882","-0,983667397","-0,751355207","5,147837287","2,890310557","-1,292437494","0,5627504672"
1,0,250432,71612,17008,427244,0,0,0,0,7717,715,4,82,14,0,"0,9379598682","-1,468388677","0,5057853002","-0,208910751","-0,3454674","1,5050375803","0,1068405623","-0,356289484"
2,0,250432,71612,17008,427244,0,0,0,0,7592,693,2,82,17,0,"0,8017456575","-1,472924405","0,6175652837","-0,1613826","-0,514059751","1,4412656478","0,1868979471","-0,535250862"
0,0,250432,69820,17016,427236,0,0,0,28,6567,530,3,71,25,0,"-0,176294328","-1,083580829","0,3596931214","-0,539634603","-0,63922796","1,2648912621","0,1264205243","-0,382655646"
8,0,250432,69820,17016,427252,0,0,0,0,6810,599,0,79,21,0,"0,9019005216","-1,228013307","0,2647025159","-0,218954462","0,3587577904","1,4140032668","0,0456036464","-0,757912104"
1,0,250432,69820,17016,427252,0,0,0,0,6561,601,3,78,19,0,"0,2876705169","-1,289082377","0,2654441861","-0,347917016","-0,509709263","1,2771097855","0,100802142","-0,376562798"
1,0,250432,69820,17016,427252,0,0,0,0,7371,660,3,81,16,0,"0,6504193631","-1,399906723","0,3489548163","-0,332218056","-0,600751674","1,2479716546","0,1531917247","-0,349209853"
2,0,250432,69820,17016,427256,0,0,0,0,7450,747,1,84,15,0,"0,8928939076","-1,425862504","0,5280597676","-0,257532298","-0,855959807","1,1616927759","0,2530932409","-0,503413285"
2,0,250432,69820,17024,427248,0,0,0,16,7838,758,1,86,12,0,"1,073310525","-1,421465746","0,6603791634","-0,319498646","-0,911482775","1,1440651383","0,3064347432","-0,47242409"
7,0,250432,69820,17024,427260,0,0,0,0,7121,683,3,85,12,0,"1,462908353","-1,29489968","0,1559189836","-0,249692118","0,6383850757","1,4993400831","-0,049029465","-0,46628773"
0,0,250432,69820,17024,427260,0,0,0,16,7354,718,3,86,12,0,"0,814907242","-1,387448086","0,5315505839","-0,388002339","-0,889187614","1,1746067612","0,2375069766","-0,28878488"
4,0,250432,69372,17024,427264,0,0,0,0,7605,719,0,88,12,0,"1,141549606","-1,488239664","0,5325584711","-0,228560103","-0,696134783","1,1216372806","0,2840978275","-0,570788194"
4,0,250432,69372,17024,427264,0,0,0,0,6974,652,3,80,17,0,"0,8609303724","-1,259925517","0,1536468814","-0,340277244","0,0475284218","1,3382859953","0,0196711161","-0,409251118"
7,0,250432,69372,17032,427268,0,0,0,16,7613,869,5,87,8,0,"2,1598723625","-1,146834203","0,1030175444","-0,38499473","0,8989938004","1,5283935657","-0,138535513","-0,275930477"
3,0,250432,69372,17032,427268,0,0,0,0,7649,730,4,85,11,0,"1,2701609561","-1,388517418","0,2166473152","-0,33544314","-0,076719042","1,3116858747","0,0562665371","-0,270778155"
1,0,250432,67804,17032,427268,0,0,0,0,7567,675,1,85,13,0,"0,700712632","-1,460169137","0,3528771972","-0,411472785","-1,177875863","0,8728300198","0,3180727782","-0,360947681"
1,0,250432,67804,17032,427272,0,0,0,0,7572,636,3,81,16,0,"0,6264653038","-1,36963094","0,1321039725","-0,484823388","-0,712485693","1,0038951209","0,168829781","-0,244921756"
1,0,250432,67804,17032,427272,0,0,0,0,7543,714,3,82,15,0,"0,8133613941","-1,340786337","0,1556729458","-0,47402577","-0,749421036","0,9961000166","0,1645897117","-0,241474192"
5,0,250432,67804,17040,427276,0,0,0,16,7514,799,5,84,11,0,"1,6683087606","-1,114798919","-0,045258098","-0,542872802","0,4476332823","1,2703117431","-0,081796602","-0,169453436"
1,0,250432,67804,17040,427276,0,0,0,0,7472,746,0,89,11,0,"0,8587066971","-1,495078224","0,4874987424","-0,359620359","-1,435250641","0,7959742086","0,3953286159","-0,415726103"
2,0,250432,67804,17040,427280,0,0,0,0,7248,693,1,84,15,0,"0,7301895328","-1,369896877","0,2907403578","-0,403328655","-0,936464322","0,9246687159","0,2558494138","-0,401741332"
3,0,250432,67804,17040,427280,0,0,0,0,7574,716,1,88,11,0,"1,0878323029","-1,441571266","0,3156830141","-0,372839959","-0,791520948","0,9449320082","0,2621178126","-0,393754982"
9,0,250432,67804,17040,427280,20,0,20,0,7162,731,5,84,11,0,"1,9913405167","-0,903777604","-0,405097004","-0,291808209","1,2437842781","1,6341307901","-0,243697216","-0,057825358"
2,0,250432,67804,17048,427276,0,0,0,16,6996,712,1,83,16,0,"0,6919715232","-1,230031933","0,3553245115","-0,481927187","-0,925753366","0,9299631387","0,2533059476","-0,405112684"
2,0,250432,67804,17048,427284,0,0,0,0,7351,692,3,85,13,0,"0,917690887","-1,360746682","0,1410183858","-0,44055033","-0,542873625","1,0294150875","0,1463415158","-0,249562603"
4,0,250432,67804,17048,427288,0,0,0,0,7445,723,3,84,13,0,"1,2031208728","-1,296266883","0,0675293546","-0,423484807","-0,126021732","1,1197886058","0,067224773","-0,299745826"
